"","country","region","life_expect","adult_mortality","bmi","alcohol","basic_water"
"17","Angola","Africa",62.63262,237.9694,23.3,5.38006,55.08428
"34","Burundi","Africa",60.09811,290.1858,21.7,3.88586,60.20415
"51","Benin","Africa",61.08568,242.3741,23.5,1.46034,66.32024
"68","Burkina Faso","Africa",60.32101,254.6027,22.2,7.10585,48.26772
"85","Botswana","Africa",66.05297,249.2413,24.3,5.14197,89.40444
"102","Central African Republic","Africa",53.0428,411.9438,22.9,0.87422,46.33376
"119","United Republic of Tanzania","Africa",63.90913,260.6826,23.2,7.40868,54.84754
"136","Uganda","Africa",62.49541,287.9427,22.5,12.10029,47.66563
"153","South Africa","Africa",63.59951,301.3036,27.3,7.30327,92.27031
"170","Zambia","Africa",62.32869,286.3146,22.6,3.85421,59.23856
"187","Zimbabwe","Africa",61.44675,333.9667,23.8,3.45813,64.51162
"204","South Sudan","Africa",58.64463,321.3851,NA,NA,40.8139
"221","Sao Tome and Principe","Africa",68.72415,190.6098,24.8,5.05122,84.20084
"238","Eswatini","Africa",57.69028,393.319,26.8,7.50211,68.9483
"255","Seychelles","Africa",73.26278,163.0721,26.7,20.18246,96.24902
"272","Chad","Africa",54.25685,359.7015,21.9,0.50193,38.85259
"289","Togo","Africa",60.61098,265.3151,23.6,1.26159,64.02144
"306","Namibia","Africa",63.67717,295.8852,24.2,4.3259,82.21806
"323","Niger","Africa",59.82668,250.1592,21.8,0.13217,49.50156
"340","Nigeria","Africa",55.19205,352.469,23.2,7.81502,70.02553
"357","Rwanda","Africa",68.03925,198.2996,22.1,7.08615,56.98162
"374","Senegal","Africa",66.77169,185.1502,23,0.30068,79.46232
"391","Sierra Leone","Africa",53.1305,388.8057,22.7,3.49095,59.56314
"408","Madagascar","Africa",66.08802,215.5435,21.3,0.88878,53.18465
"425","Mali","Africa",57.95288,269.6224,23,0.58272,76.58435
"442","Mozambique","Africa",60.0987,336.4021,22.8,1.24664,53.44394
"459","Mauritania","Africa",63.94022,202.3809,24.9,0.00091,68.83202
"476","Mauritius","Africa",74.82426,145.3546,25.2,3.06898,99.86639
"493","Malawi","Africa",64.17274,254.7219,22.9,2.0043,67.91184
"510","Gambia","Africa",61.91838,262.2101,24,2.79286,77.82724
"527","Guinea-Bissau","Africa",59.83368,268.9253,23.4,3.09854,66.50823
"544","Equatorial Guinea","Africa",59.53732,304.7663,24,7.25919,64.42552
"561","Kenya","Africa",66.67854,219.2986,23.3,1.63021,58.28035
"578","Liberia","Africa",62.94294,230.2532,24.1,3.53465,72.44901
"595","Lesotho","Africa",52.93801,483.4906,24.9,2.8891,68.62891
"612","Algeria","Africa",76.36365,95.02545,25.5,0.59923,93.51585
"629","Eritrea","Africa",64.96657,252.0605,20.7,0.68005,51.84972
"646","Ethiopia","Africa",65.51109,219.473,20.6,0.85709,40.04142
"663","Gabon","Africa",66.4489,220.698,25.2,7.49607,85.62704
"680","Ghana","Africa",63.44865,241.2761,23.9,1.61959,80.43578
"697","Guinea","Africa",59.79942,262.1077,22.9,0.34704,62.10819
"714","C̫te d'Ivoire","Africa",54.59137,397.78,23.8,1.53458,72.76205
"731","Cameroon","Africa",58.06432,341.3811,24.3,4.14558,60.15572
"748","Democratic Republic of the Congo","Africa",60.45245,256.1018,22,0.61208,42.97677
"765","Congo","Africa",64.30374,260.5036,23.2,5.86494,72.18665
"782","Comoros","Africa",63.85875,224.9509,24.5,0.22526,80.14886
"799","Cabo Verde","Africa",73.16841,121.7998,24.5,4.11278,86.48798
"816","Argentina","Americas",76.94621,111.4288,27.7,8.31052,99.07838
"833","Antigua and Barbuda","Americas",74.99754,119.8657,26.7,7.54669,96.73919
"850","Bahamas","Americas",75.69963,159.2046,28,8.68713,98.88696
"867","Belize","Americas",70.45189,179.2545,29.1,6.11449,97.58454
"884","United States of America","Americas",78.49759,114.1238,28.9,8.8569,99.26371
"901","Saint Vincent and the Grenadines","Americas",71.95692,168.7226,27.2,7.98513,95.14522
"918","Venezuela (Bolivarian Republic of)","Americas",74.05354,156.7178,26.7,3.98964,95.77837
"935","Paraguay","Americas",74.19203,145.5476,26.7,5.84504,98.56575
"952","El Salvador","Americas",73.67954,176.8166,27.7,2.639,97.06386
"969","Suriname","Americas",71.80817,180.4631,26.5,4.40653,94.5194
"986","Trinidad and Tobago","Americas",71.81485,171.8307,27.6,5.90777,98.18496
"1003","Uruguay","Americas",77.06158,113.9388,27.4,5.52664,99.32289
"1020","Saint Lucia","Americas",75.59992,147.1686,30,10.18048,98.16222
"1037","Mexico","Americas",76.56378,126.6144,28,4.25065,98.88368
"1054","Nicaragua","Americas",75.48499,145.8617,27.2,3.81148,81.50474
"1071","Panama","Americas",78.02985,110.9972,26.9,6.7007,95.97945
"1088","Peru","Americas",75.86007,124.0595,26.7,5.31141,90.58557
"1105","Grenada","Americas",73.40396,140.1568,27,8.86551,95.62865
"1122","Guatemala","Americas",73.22707,161.6523,26.6,1.59337,93.72089
"1139","Guyana","Americas",66.19136,263.7115,26.4,5.884,95.53635
"1156","Honduras","Americas",75.17304,145.0679,26.8,2.54309,94.28603
"1173","Haiti","Americas",63.5098,243.4574,25.3,2.72063,65.02302
"1190","Jamaica","Americas",76.00214,131.3541,27.8,3.38245,90.61792
"1207","Costa Rica","Americas",79.56461,96.74338,27.3,3.76539,99.69976
"1224","Cuba","Americas",78.99843,92.46183,25.6,4.3488,95.32452
"1241","Dominican Republic","Americas",73.5313,160.0898,26.5,5.54662,96.57637
"1258","Ecuador","Americas",76.47446,114.1762,27.3,3.33882,93.68204
"1275","Bolivia (Plurinational State of)","Americas",71.49831,182.2321,26.6,3.4127,92.1769
"1292","Brazil","Americas",75.13705,142.7784,26.6,6.33272,97.84798
"1309","Barbados","Americas",75.58631,100.4418,27.8,9.27444,98.48444
"1326","Canada","Americas",82.80972,62.83084,26.9,8.1,99.41262
"1343","Chile","Americas",79.51848,87.42916,28,7.7801,99.62218
"1360","Colombia","Americas",75.10618,137.1368,26.2,4.5383,96.96181
"1377","Afghanistan","Eastern Mediterranean",62.68935,245.2249,23.4,0.01652,64.28648
"1394","United Arab Emirates","Eastern Mediterranean",77.15633,73.95345,28.4,2.1706,97.40737
"1411","Bahrain","Eastern Mediterranean",79.0638,56.80697,24.8,1.38638,100
"1428","Djibouti","Eastern Mediterranean",63.84281,244.5206,24,0.32597,75.60252
"1445","Egypt","Eastern Mediterranean",70.5431,164.5883,29.6,0.14541,99.03286
"1462","Iran (Islamic Republic of)","Eastern Mediterranean",75.7148,80.13225,26.1,0.02344,95.20149
"1479","Somalia","Eastern Mediterranean",55.44761,316.0549,23.2,0,50.81511
"1496","Syrian Arab Republic","Eastern Mediterranean",63.79707,301.1052,28.3,0.18008,97.05907
"1513","Tunisia","Eastern Mediterranean",76.04694,90.99689,26.3,1.52928,95.9924
"1530","Yemen","Eastern Mediterranean",65.31264,221.2797,23.8,0.02743,63.32203
"1547","Oman","Eastern Mediterranean",77.00477,96.24877,26.3,0.40318,91.75999
"1564","Pakistan","Eastern Mediterranean",66.52933,159.0599,23.9,0.04576,91.14014
"1581","Qatar","Eastern Mediterranean",78.07074,61.75961,29.2,1.04399,99.6298
"1598","Saudi Arabia","Eastern Mediterranean",74.75218,89.1287,28.5,0.07808,99.86361
"1615","Sudan","Eastern Mediterranean",65.11468,223.9304,NA,0.00786,60.21589
"1632","Iraq","Eastern Mediterranean",69.84565,173.5001,28.8,0.16244,95.61298
"1649","Jordan","Eastern Mediterranean",74.27773,110.5425,29,0.31556,98.97105
"1666","Kuwait","Eastern Mediterranean",74.78218,79.21947,29.6,0.00811,100
"1683","Lebanon","Eastern Mediterranean",76.27683,95.61637,27.6,1.27064,92.6
"1700","Libya","Eastern Mediterranean",71.91326,150.2959,28.1,0.00287,98.52895
"1717","Morocco","Eastern Mediterranean",75.95964,69.05942,26,0.4,86.63644
"1734","Albania","Europe",76.37373,96.40514,26.7,4.66796,91.02037
"1751","Armenia","Europe",74.83788,116.4358,26.3,3.82392,99.89854
"1768","Austria","Europe",81.87031,61.88845,25.6,11.7,100
"1785","Azerbaijan","Europe",73.07719,117.6489,27.1,3.05326,90.71031
"1802","Belgium","Europe",81.16279,71.56112,26.1,9.41591,100
"1819","Sweden","Europe",82.36343,52.43221,26,7.15,100
"1836","Tajikistan","Europe",70.75987,123.2559,26.1,0.85936,79.62585
"1853","Turkmenistan","Europe",68.16424,190.9719,26.6,3.31766,98.70372
"1870","Turkey","Europe",76.38178,104.0207,27.9,1.37905,98.88087
"1887","Ukraine","Europe",72.49735,180.0551,26.6,5.74131,93.72408
"1904","Uzbekistan","Europe",72.3286,130.6792,26.9,1.59159,97.68127
"1921","Serbia","Europe",76.3361,102.5437,26.1,7.21473,85.52885
"1938","Slovakia","Europe",77.41844,104.1125,26.4,9.91722,99.78751
"1955","Slovenia","Europe",80.91451,72.04058,26.6,10.51,99.53439
"1972","Netherlands","Europe",81.6328,58.63288,25.6,8.29649,100
"1989","Norway","Europe",82.4763,54.65812,26.7,6.03,100
"2006","Poland","Europe",77.75282,110.5996,26.7,10.42659,99.38385
"2023","Portugal","Europe",81.52627,75.56303,25.6,10.36621,99.90618
"2040","Romania","Europe",75.23627,134.8221,26.9,9.5705,100
"2057","Russian Federation","Europe",71.86533,202.6742,26.2,8.19835,96.96095
"2074","Latvia","Europe",74.9902,153.796,26.7,11.3,98.57478
"2091","Republic of Moldova","Europe",71.49788,166.7539,27,7.22203,88.68506
"2108","Republic of North Macedonia","Europe",75.85901,95.82513,26.8,3.63089,93.15266
"2125","Malta","Europe",81.49574,55.02631,27.1,7.51183,100
"2142","Montenegro","Europe",76.79796,99.06138,26.5,8.96508,97.05335
"2159","Italy","Europe",82.77284,53.52959,25.6,7.09557,99.4425
"2176","Kazakhstan","Europe",71.1448,181.4808,26.4,3.55,95.04381
"2193","Kyrgyzstan","Europe",71.40205,162.3368,26.6,4.57125,87.42696
"2210","Lithuania","Europe",75.04082,154.5404,26.4,13.38696,97.07375
"2227","Luxembourg","Europe",82.39915,55.5008,26.3,11.23539,99.90687
"2244","Greece","Europe",81.16033,66.41975,27.1,6.36504,100
"2261","Croatia","Europe",78.29282,87.5144,27.4,10.38961,99.58675
"2278","Hungary","Europe",75.97804,125.8381,27.3,11.28316,99.97081
"2295","Ireland","Europe",81.53663,62.38533,27.5,11.21677,97.38348
"2312","Iceland","Europe",82.39584,55.00978,26.2,7.5,100
"2329","Israel","Europe",82.29099,57.98429,27.3,2.69426,100
"2346","Spain","Europe",83.07912,55.78778,25.9,10.80005,99.92651
"2363","Estonia","Europe",77.76206,118.5542,26.4,15.95026,99.71165
"2380","Finland","Europe",81.44721,70.18185,25.9,8.44,100
"2397","France","Europe",82.94602,70.98227,25,11.74,100
"2414","United Kingdom of Great Britain and Northern Ireland","Europe",81.4325,66.6791,27.1,9.6941,100
"2431","Georgia","Europe",72.58357,159.9033,27.6,7.51197,98.17055
"2448","Czechia","Europe",79.16503,81.13068,27.1,12.93089,99.88017
"2465","Germany","Europe",81.00278,68.68589,26.6,10.93078,100
"2482","Denmark","Europe",81.24531,65.03622,25.3,9.51005,100
"2499","Bulgaria","Europe",74.84309,135.3411,26.4,11.47825,99.14818
"2516","Bosnia and Herzegovina","Europe",77.28514,92.02609,25.8,4.81186,96.15126
"2533","Belarus","Europe",74.15955,160.5829,26.6,9.70203,96.47418
"2550","Switzerland","Europe",83.26371,49.20185,25.2,9.51001,100
"2567","Cyprus","Europe",80.70889,55.41083,26.8,9.59394,99.6132
"2584","Bangladesh","South-East Asia",72.65925,130.232,21.7,0.00408,96.88253
"2601","Bhutan","South-East Asia",70.56942,206.9694,23.9,0.01633,97.20763
"2618","Indonesia","South-East Asia",69.30531,175.6083,23.1,0.08488,88.65653
"2635","India","South-East Asia",68.82572,178.0385,21.8,2.96659,91.85928
"2652","Sri Lanka","South-East Asia",75.33485,131.4098,23.1,2.64911,88.83598
"2669","Maldives","South-East Asia",78.41551,52.53405,25.5,1.12416,99.23921
"2686","Myanmar","South-East Asia",66.80213,194.9528,22.6,1.60395,80.84426
"2703","Nepal","South-East Asia",70.20618,150.6497,22.5,0.29265,88.34641
"2720","Democratic People's Republic of Korea","South-East Asia",71.94337,132.1501,24.1,3.29548,94.8621
"2737","Thailand","South-East Asia",75.47385,147.4164,24.4,6.57,99.3738
"2754","Timor-Leste","South-East Asia",68.55038,149.8112,21.3,0.4947,76.65939
"2771","Australia","Western Pacific",82.90018,60.72528,27.1,9.79,99.96997
"2788","Brunei Darussalam","Western Pacific",76.42742,97.70415,27.2,0.66475,99.90001
"2805","China","Western Pacific",76.38921,80.35584,23.8,5.63286,92.30405
"2822","Fiji","Western Pacific",69.94631,186.2145,27.7,2.41122,93.74462
"2839","Micronesia (Federated States of)","Western Pacific",69.59525,163.8179,29.7,1.58653,78.56648
"2856","Tonga","Western Pacific",73.42995,133.0206,32.2,0.27958,99.90674
"2873","Viet Nam","Western Pacific",76.33917,124.7509,21.9,3.12507,93.99012
"2890","Vanuatu","Western Pacific",71.97726,129.376,26.2,1.58099,90.66152
"2907","Samoa","Western Pacific",75.068,110.3881,32.2,2.1751,97.30364
"2924","Philippines","Western Pacific",69.3147,193.8597,23.2,4.52845,93.07372
"2941","Papua New Guinea","Western Pacific",65.90926,224.2683,25.6,0.79626,40.73222
"2958","Singapore","Western Pacific",82.94685,51.36488,23.6,1.83685,100
"2975","Solomon Islands","Western Pacific",71.13122,145.595,26.3,1.28076,68.5448
"2992","Mongolia","Western Pacific",69.80354,210.7092,26.2,6.89982,82.80058
"3009","Malaysia","Western Pacific",75.27525,122.8846,25.7,0.58616,96.72462
"3026","New Zealand","Western Pacific",82.24739,66.05728,28,9.01749,100
"3043","Japan","Western Pacific",84.16616,50.82619,22.7,6.81588,98.97
"3060","Cambodia","Western Pacific",69.36723,170.497,22.2,3.50125,76.94537
"3077","Kiribati","Western Pacific",66.12499,197.0347,30.1,0.37722,70.34607
"3094","Republic of Korea","Western Pacific",82.66409,60.81405,23.8,8.686,99.6754
"3111","Lao People's Democratic Republic","Western Pacific",65.79089,192.7939,22.9,7.11148,79.9419
